1.0 1.0 1.7763568394002505e-15
1.0 2.0 1.5265566588595902e-16
1.0 3.0 1.1102230246251565e-16
1.0 4.0 1.6653345369377348e-16
1.0 5.0 1.504352198367087e-14
1.0 6.0 1.6653345369377348e-16
1.0 7.0 6.318279233141766e-13
1.0 8.0 5.551115123125783e-17
1.0 9.0 8.326672684688674e-17
2.0 1.0 7.502716670160225e-08
2.0 2.0 1.223407902761764e-10
2.0 3.0 1.1902949181852307e-08
2.0 4.0 2.3591975040204716e-09
2.0 5.0 1.1275311850855729e-07
2.0 6.0 9.944878254231071e-12
2.0 7.0 2.102184759600334e-09
2.0 8.0 6.273450092741939e-10
2.0 9.0 1.7603732915816295e-09
3.0 1.0 1.6700555294235642e-06
3.0 2.0 3.765547387790669e-09
3.0 3.0 3.55392026418766e-07
3.0 4.0 0.0005976297717524282
3.0 5.0 4.386282578983103e-05
3.0 6.0 3.315946994209007e-07
3.0 7.0 0.0007723401896403415
3.0 8.0 0.00036824292496978606
3.0 9.0 8.678686012064674e-06
