1.0 1.0 -11.175201102815583
1.0 2.0 -11.999734890879282
1.0 3.0 -9.569403034752009
1.0 4.0 -10.317054312822929
1.0 5.0 -11.999855374963587
1.0 6.0 -11.465254377306929
1.0 7.0 -11.035076558785224
1.0 8.0 -11.684127570500323
1.0 9.0 -10.419965081560585
1.0 10.0 -11.59296675804182
1.0 11.0 -9.907117392714564
1.0 12.0 -9.437100433307133
1.0 13.0 -9.078454063534574
1.0 14.0 -11.513423896893938
1.0 15.0 -10.438742641370585
1.0 16.0 -10.987191814080692
1.0 17.0 -8.569027961343572
1.0 18.0 -9.556868862014806
1.0 19.0 -11.830515349066937
2.0 1.0 -5.092308128117872
2.0 2.0 -5.501174999923709
2.0 3.0 -6.269958289528811
2.0 4.0 -6.249113449242658
2.0 5.0 -6.8682637356345655
2.0 6.0 -6.484815856065264
2.0 7.0 -5.061204480017135
2.0 8.0 -6.045197939461386
2.0 9.0 -5.169031192894838
2.0 10.0 -4.7682157456768115
2.0 11.0 -5.813784144924111
2.0 12.0 -5.124072792297922
2.0 13.0 -5.057366899931867
2.0 14.0 -5.834377677626461
2.0 15.0 -6.514487475849937
2.0 16.0 -5.741008596999622
2.0 17.0 -5.965015858861771
2.0 18.0 -5.897731267312819
2.0 19.0 -6.716129384812197
3.0 1.0 0.019703801961161213
3.0 2.0 -0.657090292689675
3.0 3.0 -1.0960232856833012
3.0 4.0 -1.517275415332168
3.0 5.0 -1.7896274448966636
3.0 6.0 -2.2815462432756144
3.0 7.0 -2.5686217421807878
3.0 8.0 -2.97152397674159
3.0 9.0 -3.309016159957797
3.0 10.0 -3.6333272009128175
3.0 11.0 -4.000173348131528
3.0 12.0 -3.932797881030898
3.0 13.0 -4.450114563778896
3.0 14.0 -4.482885029838347
3.0 15.0 -5.055517599124665
3.0 16.0 -4.69990373451304
3.0 17.0 -4.7944660127157075
3.0 18.0 -5.35763187899075
3.0 19.0 -4.25527373142424
4.0 1.0 0.8123898661882181
4.0 2.0 0.1262553379976823
4.0 3.0 -0.2173962823866601
4.0 4.0 -0.5438771234180464
4.0 5.0 -0.7932466254192829
4.0 6.0 -1.0819354143364632
4.0 7.0 -1.232710177152325
4.0 8.0 -1.478665281617717
4.0 9.0 -1.6199993010589853
4.0 10.0 -1.8799018148479625
4.0 11.0 -1.9963218496099127
4.0 12.0 -2.2089903750016906
4.0 13.0 -2.3784130038528684
4.0 14.0 -2.577546928532864
4.0 15.0 -2.785656681412158
4.0 16.0 -2.9385595489113454
4.0 17.0 -3.1550674820596587
4.0 18.0 -3.359755201430505
4.0 19.0 -3.5032173940746967
5.0 1.0 1.2560601746416937
5.0 2.0 0.6205632759661497
5.0 3.0 0.264094039822374
5.0 4.0 -0.018847845301430494
5.0 5.0 -0.21805021863243806
5.0 6.0 -0.40743148439183197
5.0 7.0 -0.5288104063284822
5.0 8.0 -0.6575130904248166
5.0 9.0 -0.735752892011745
5.0 10.0 -0.9002034412624152
5.0 11.0 -0.9449700067986027
5.0 12.0 -1.0507034578531655
5.0 13.0 -1.1404192258158272
5.0 14.0 -1.2221451927682832
5.0 15.0 -1.3257161601488998
5.0 16.0 -1.371510086162176
5.0 17.0 -1.5204116395778218
5.0 18.0 -1.6050623568116003
5.0 19.0 -1.7102800600003643
